statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
105,臺北市大同區,星明里,5295,28,11,250,38,599,177,123,24,153,15,211,97,302,81,6,156,35,11,2,107,12,3,3
105,臺北市大同區,光能里,4526,17,13,160,33,502,150,131,11,149,6,166,78,314,76,9,145,30,6,1,143,13,2,2
105,臺北市大同區,大有里,4477,13,5,148,29,547,141,93,26,137,8,210,81,323,68,6,158,36,7,3,111,18,6,0
105,臺北市大同區,延平里,3860,13,9,141,23,415,139,97,16,121,7,151,71,256,52,8,158,29,7,2,101,16,5,4
105,臺北市大同區,雙連里,8514,39,19,295,61,824,285,222,53,270,13,330,171,531,162,21,329,77,15,3,271,25,11,6
105,臺北市大同區,南芳里,3580,10,5,144,27,392,104,84,15,97,9,131,51,229,66,1,135,32,8,2,98,12,4,1
105,臺北市大同區,民權里,5814,31,10,232,49,698,188,181,34,192,10,197,135,318,85,7,171,38,6,3,132,11,1,1
105,臺北市大同區,景星里,2544,8,5,79,20,206,66,71,15,50,7,89,37,202,63,2,138,33,4,1,139,18,3,8
105,臺北市大同區,隆和里,2787,11,5,92,23,293,86,65,12,100,8,116,50,211,52,8,98,22,6,1,91,9,0,5
105,臺北市大同區,蓬萊里,4511,18,8,159,45,505,145,138,20,139,10,184,74,288,70,6,168,31,13,1,124,17,2,2
105,臺北市大同區,國順里,2729,4,1,62,11,208,93,62,20,67,13,115,60,231,66,5,181,32,5,2,147,28,4,3
105,臺北市大同區,國慶里,3989,20,11,185,50,492,121,100,18,129,10,136,48,253,58,10,114,31,7,2,82,10,1,1
105,臺北市大同區,揚雅里,4025,12,4,101,21,380,96,93,26,136,8,208,94,287,76,6,259,65,8,1,204,39,6,22
105,臺北市大同區,斯文里,4950,20,6,163,28,524,120,126,22,127,7,215,82,336,112,8,255,55,6,3,191,21,6,7
105,臺北市大同區,鄰江里,5927,16,9,191,52,567,202,155,39,187,7,239,95,424,105,8,294,52,17,5,277,22,0,4
105,臺北市大同區,至聖里,7352,26,13,284,52,811,218,193,39,267,15,303,132,485,110,18,224,46,6,3,195,19,3,5
105,臺北市大同區,老師里,5409,9,6,173,40,522,179,144,44,158,3,253,78,405,119,12,242,39,7,0,213,21,2,2
105,臺北市大同區,重慶里,5970,32,14,278,55,680,208,187,24,175,6,199,82,322,108,12,199,41,10,1,170,13,1,3
105,臺北市大同區,保安里,3802,18,7,151,30,405,133,118,22,118,9,166,49,232,62,8,124,28,4,3,136,19,1,6
