statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
104,臺北市中山區,集英里,6372,45,22,248,45,723,221,154,21,210,16,11,217,104,324,81,170,49,7,2,130,15,5,4
104,臺北市中山區,聚葉里,3619,21,10,161,29,414,106,97,22,106,3,3,143,40,196,61,82,18,3,0,88,9,3,1
104,臺北市中山區,恆安里,4333,21,7,184,24,557,96,115,13,120,8,2,131,49,212,58,98,23,3,0,71,15,4,2
104,臺北市中山區,晴光里,4840,34,10,236,40,622,135,105,26,161,11,2,166,50,216,63,111,28,3,0,67,10,6,1
104,臺北市中山區,圓山里,3891,27,8,139,27,511,116,89,21,125,6,3,143,50,183,55,111,30,4,1,79,8,5,2
104,臺北市中山區,劍潭里,3404,35,6,163,30,546,100,81,21,123,9,1,118,45,155,48,75,21,1,0,61,7,1,1
104,臺北市中山區,大直里,8465,82,17,590,96,1292,307,161,29,280,4,9,206,101,311,83,155,59,6,1,118,21,0,1
104,臺北市中山區,成功里,5723,57,15,451,55,850,201,91,14,151,8,7,105,127,162,48,96,43,3,0,58,12,0,1
104,臺北市中山區,永安里,8326,93,19,626,88,1198,325,175,21,279,8,5,172,145,279,64,153,49,3,2,85,22,0,5
104,臺北市中山區,大佳里,981,1,1,17,4,92,26,21,9,17,0,0,38,12,72,40,86,13,1,0,84,11,4,1
104,臺北市中山區,新喜里,4908,16,12,197,47,532,176,138,26,138,6,5,205,63,293,77,141,27,10,0,137,8,2,4
104,臺北市中山區,新庄里,4624,19,9,177,39,500,136,123,23,179,12,6,174,55,265,74,152,31,4,3,121,3,2,3
104,臺北市中山區,新福里,4693,22,8,177,32,538,145,118,27,163,11,3,181,63,253,54,136,51,5,2,139,4,2,2
104,臺北市中山區,松江里,5984,30,11,292,53,864,197,134,23,203,16,7,199,80,291,60,133,25,3,0,98,14,1,2
104,臺北市中山區,新生里,4607,26,6,171,28,539,145,110,18,165,14,7,179,53,269,76,150,37,2,3,116,8,3,3
104,臺北市中山區,中庄里,4732,19,10,183,41,559,149,129,21,170,11,6,196,63,284,67,127,45,5,0,125,15,5,1
104,臺北市中山區,行政里,7121,30,14,241,43,768,212,181,26,264,25,9,368,126,492,135,301,93,4,1,240,74,10,12
104,臺北市中山區,行仁里,7467,17,9,291,53,790,251,215,37,259,11,10,310,95,509,121,255,48,12,1,245,24,5,8
104,臺北市中山區,行孝里,3771,9,6,143,36,401,133,98,12,113,11,3,143,53,278,68,144,26,2,0,93,13,0,2
104,臺北市中山區,下埤里,6966,34,12,311,47,955,218,169,31,237,12,5,237,67,387,97,178,48,4,2,157,6,2,4
104,臺北市中山區,江寧里,6282,57,7,399,61,1005,227,103,32,223,9,3,185,94,258,52,106,28,5,1,81,8,2,0
104,臺北市中山區,江山里,6889,35,13,417,89,1031,222,158,23,241,17,4,200,87,324,79,146,37,7,0,132,12,2,2
104,臺北市中山區,中吉里,5038,44,18,268,50,739,157,105,28,172,7,5,185,88,222,74,100,37,8,0,74,15,2,3
