statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m,,,,,,,,,,,,,,,,,,,,,,,
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,新海里,3328,4,3,57,22,277,115,76,35,54,6,7,128,41,253,120,248,33,1,2,153,10,3,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,莒光里,2649,9,9,94,18,274,86,71,17,67,3,1,85,40,202,54,126,26,2,1,84,2,2,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,富貴里,2090,4,2,80,15,222,86,50,6,76,3,4,56,31,128,49,82,14,2,1,76,5,0,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,正泰里,2825,11,4,83,23,257,78,83,27,78,9,8,95,41,217,53,139,24,3,1,104,3,0,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,民生里,2094,5,2,69,19,190,67,50,21,44,8,4,63,24,149,46,101,10,1,0,65,10,3,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,後埔里,3513,11,7,196,36,399,118,110,13,103,13,10,96,59,248,61,132,23,1,2,78,3,1,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,華福里,1973,6,2,66,10,199,55,50,9,68,4,6,64,35,167,35,82,15,2,0,65,6,0,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,堂春里,3947,5,7,65,24,312,167,95,28,89,8,8,147,63,366,128,247,40,1,1,142,8,3,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,成和里,5633,9,1,128,49,480,189,181,35,98,15,17,223,99,498,169,278,42,4,0,185,12,5,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,光榮里,2419,5,3,61,22,230,78,80,14,62,5,2,102,34,216,51,107,17,5,1,78,6,0,0,,,,,,,,,,,,,,,,,,,,,,,
